slug,competitor_ja,competitor_en,competitor_url,axis,us,competitor,note
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Sample contract length,なし — 利用規約のみ。,個別契約 (年単位が一般的、公開情報なし)。,
tsr,東京商工リサーチ,Tokyo Shoko Research,https://www.tsr-net.co.jp/,Support model,Self-service + メール (info@bookyou.net 48h)。,Account manager 制。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,API access,REST + MCP。OpenAPI 3.1。,<strong>REST API あり</strong> (申請ベース、無料、利用規約あり) — 当社も内部で取込。当社の独自性は MCP / 制度 DB / 一次資料連結で、法人台帳機能は概ね同等。,gBizINFO は METI 公式の良質な公開 API。当社の corporate_entity の主要源。
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,MCP support,89 tools (protocol 2025-06-18)。,公開情報なし。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Pricing model,¥3/req 完全従量 (税込 ¥3.30)。,<strong>完全無料</strong> (政府公式)。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,JP corporate count,"166,969 件 (うち gBizINFO ベース約 87,076 + 適格請求書 delta 13,801)。",500 万社超 (法人番号公表サイト連携、ほぼ全法人)。,法人台帳の網羅性では gBizINFO が圧倒。
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Credit ratings / 評点,なし。,なし (政府機関のため評点は提供せず)。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Subsidy / 制度 DB,"10,790 件 (tier S/A/B/C)。",補助金情報の連携あり (採択企業情報) — ただし制度横断の検索 API は無し。,当社は制度を主、法人を従とする逆構造。
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Tax ruleset DB,35 件。,対象外。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Court decisions / 判例,"2,065 件。",対象外。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",対象外 (国税庁公表サイトと連携可能だが gBizINFO 内部 DB は別)。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Primary source citations,99%+ に source_url + fetched_at。,出典は政府機関 (一次)。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Terms of use,ToS 同意で開始。データは出典表示で再配布可 (license フィールド参照)。,「政府標準利用規約 2.0」(原則 CC-BY 相当、出典表示で再配布可)。<strong>2026-04-03 公式 instability 通知 + 2026-04-08 TOS 改訂あり、最新は gbiz-info.go.jp 公式参照</strong>。,gBizINFO データを当社が取込・再配布できるのはこの規約のため。
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Free tier,匿名 50 req/月/IP。,完全無料。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Sample contract length,なし — 利用規約のみ。,なし。,
gbizinfo,gBizINFO,gBizINFO,https://info.gbiz.go.jp/,Support model,Self-service + メール。,公的サービス窓口 (METI)。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,API access,"REST + MCP。10,790 制度を横断検索。","<strong>REST v1 + v2 公開</strong> (search / detail / workflow / granttype)、 仕様書は developers.digital.go.jp。利用無料。",jGrants API は公式直営。当社の差別化は MCP / 制度横断 / 法令連結。
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,MCP support,89 tools。,公開情報なし。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Pricing model,¥3/req 完全従量。,<strong>完全無料</strong> (政府公式)。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,JP corporate count,"166,969 件。",対象外 (制度ポータル、法人台帳は持たない)。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Subsidy / 制度 DB,"10,790 件 (補助金 + 融資 + 税制 + 認定 横断)。",補助金中心。電子申請対応。掲載数の公開情報なし。,jGrants は「申請」、当社は「検索 + 適合判定」で住み分け。
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Tax ruleset DB,35 件。,対象外。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Court decisions / 判例,"2,065 件。",対象外。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",対象外。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Primary source citations,99%+ に source_url + fetched_at。,出典は政府機関 (一次)。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Electronic application / 電子申請,<strong>なし</strong> (検索・適合判定が主機能、申請は jGrants 経由を推奨)。,<strong>あり</strong> (gBizID 連携で電子申請) — コア機能。,jGrants の主機能。当社は補完。
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Terms of use,ToS 同意で開始。出典表示で再配布可 (e-Gov 等)。,政府標準利用規約 2.0 系。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Free tier,匿名 50 req/月/IP。,完全無料。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Sample contract length,なし — 利用規約のみ。,なし (gBizID 登録要)。,
jgrants,jGrants公式,jGrants,https://www.jgrants-portal.go.jp/,Support model,Self-service + メール。,公的サービス窓口 (中小企業庁)。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,API access,REST + MCP。,検索 UI のみ。<strong>API 公開なし</strong> (2026-04 時点公開情報)。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,MCP support,89 tools。,公開情報なし。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Pricing model,¥3/req 完全従量。,<strong>完全無料</strong> (政府公式)。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,JP corporate count,"166,969 件。",対象外。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Subsidy / 制度 DB,"10,790 件。",主要補助金 + 関連制度の解説中心。,ミラサポ plus は「読み物 + 専門家紹介」、当社は「機械可読 API」で住み分け。
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Case studies / 採択事例,"2,286 件 (industry / amount / 公募回 で絞込)。",<strong>事例ナビあり</strong> (Web UI のみ、API なし)。,UI 閲覧では同等以上、API 用途では当社のみ。
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Tax ruleset DB,35 件。,対象外。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Court decisions / 判例,"2,065 件。",対象外。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",対象外。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Primary source citations,99%+ に source_url + fetched_at。,出典は政府機関 (一次)。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Expert matching / 専門家紹介,<strong>なし</strong> (検索 + 適合判定が主機能)。,<strong>あり</strong> (中小企業診断士・士業マッチング)。,人的支援は同社、機械可読は当社。
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Terms of use,ToS 同意で開始。,政府標準利用規約 2.0 系。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Free tier,匿名 50 req/月/IP。,完全無料。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Sample contract length,なし — 利用規約のみ。,なし。,
mirasapo,ミラサポplus,Mirasapo plus,https://mirasapo-plus.go.jp/,Support model,Self-service + メール。,公的サービス窓口 (中小企業庁)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,API access,制度・税務・判例 等の REST + MCP。,会計・経費・人事 SaaS の API (顧客向け、公開仕様は限定的)。fintech 集約プラットフォームとして銀行 / カード / 決済の連携 API はあるが、制度 DB API は提供せず。,スコープが異なる (fintech 連携 vs 制度 DB)。
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,MCP support,89 tools。,公開情報なし。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Pricing model,¥3/req 完全従量。,SaaS Seat 課金 (会計プラン月額数千円〜)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,JP corporate count,"166,969 件 (corporate_entity)。",対象外 (顧客自身の法人 1 件分)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Subsidy / 制度 DB,"10,790 件 (横断検索 API)。",bizキャッシュ等で一部紹介。横断検索 API は提供せず。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Accounting / 会計データ,<strong>なし</strong> (会計ソフトではない)。,コア商品 (青色申告対応の会計 SaaS)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Tax ruleset DB,35 件。,会計ソフト内部の税率マスタは持つが、当社のような検索可能な税制 DB は提供せず。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Court decisions / 判例,"2,065 件。",対象外。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",会計データの中で扱うが、登録番号 DB の API は無い。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Primary source citations,99%+ に source_url + fetched_at。,SaaS 内部のため対象外。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Terms of use,ToS 同意で開始。,SaaS 利用規約 (Seat 単位)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Free tier,匿名 50 req/月/IP。,会計プランは有料 (一部無料機能あり)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Sample contract length,なし — 利用規約のみ。,Seat 月次課金 (年契約割引あり)。,
moneyforward,マネーフォワード ビジネスID,Money Forward Business ID,https://biz.moneyforward.com/,Support model,Self-service + メール。,SaaS サポート + 電話/チャット。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,API access,REST + MCP。,公開情報なし (freee アカウント連携前提、外部 API は提供せず)。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,MCP support,89 tools。,公開情報なし。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Pricing model,¥3/req 完全従量。,freee 顧客向けの追加機能 (公開価格情報非公表)。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,JP corporate count,"166,969 件。",対象外 (顧客自身)。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Subsidy / 制度 DB,"10,790 件。",助成金中心 (公開情報による掲載数非公表)。,「freee 顧客のみ」が制約。
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Tax ruleset DB,35 件。,会計ソフト内部の税率マスタ。検索 API は提供せず。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Court decisions / 判例,"2,065 件。",対象外。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",会計データ内で扱うが API 単独提供は公開情報なし。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Primary source citations,99%+ に source_url + fetched_at。,公開情報なし。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Customer scope / 顧客制約,誰でも (匿名 50 req/月/IP)。,freee 利用顧客のみ (アカウント連携が前提)。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Terms of use,ToS 同意で開始。,freee 利用規約に従属。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Free tier,匿名 50 req/月/IP。,freee 顧客向けの付加機能 (公開価格情報非公表)。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Sample contract length,なし — 利用規約のみ。,freee SaaS 契約に従属。,
freee,freee 助成金AI,freee Joseikin AI,https://www.freee.co.jp/,Support model,Self-service + メール。,freee サポート (チャット + 電話)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,API access,REST + MCP。,有料 SaaS の Web UI。<strong>API/MCP の公開仕様は公開情報なし</strong> (2026-04 時点)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,MCP support,89 tools。,公開情報なし。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Pricing model,¥3/req 完全従量 (税込 ¥3.30)。,"<strong>¥1,000/月 (147,976 cases)</strong>、 公式 navit-j.com に明示。",
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,JP corporate count,"166,969 件。",対象外。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Subsidy / 制度 DB,"10,790 件。","<strong>147,976 cases</strong> (公式 navit-j.com 明示) — 当社より大幅に多い。",case 件数で同社が圧倒。当社の差別化は API/MCP / 制度横断 / 一次資料連結。
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Tax ruleset DB,35 件。,対象外。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Court decisions / 判例,"2,065 件。",対象外。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定。",対象外。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Primary source citations,99%+ に source_url + fetched_at。,公開情報なし (要確認)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Free tier,匿名 50 req/月/IP。,<strong>無料お試しあり</strong> (公開情報、期間/制限は要確認)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Terms of use,ToS 同意で開始。,SaaS 利用規約 (Seat 単位)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Sample contract length,なし — 利用規約のみ。,Seat 月次/年次 (公開情報なし)。,
navit,ナビット 補助金検索pro,Navit hojokin search pro,https://www.navit-j.com/,Support model,Self-service + メール。,SaaS サポート + 電話。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,API access,REST + MCP (制度 + 法人 + 適格請求書 + 法令 + 判例 横断)。,<strong>Web API + bulk download</strong> (公式 Web-API、月次 bulk CSV)。当社も内部で取込。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,MCP support,89 tools。,公開情報なし。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Pricing model,¥3/req 完全従量。,<strong>完全無料</strong> (国税庁公式)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,JP corporate count,"166,969 件 (corporate_entity)。+13,801 件の適格請求書発行事業者 (delta)。",<strong>約 4 百万件</strong> (適格請求書発行事業者の登録番号公表 — 全件)。,適格請求書発行事業者の網羅性では同サイトが圧倒。当社は月次 bulk 取込で同期予定。
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Subsidy / 制度 DB,"10,790 件。",対象外 (国税庁は税務専業)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Tax ruleset DB,35 件。,対象外 (登録番号公表のみ、税制ルールは別サイト)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Court decisions / 判例,"2,065 件。",対象外。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Cross-domain join,<strong>あり</strong> (制度 × 法人 × 判例 × 行政処分 × 適格請求書 を 1 リクエストで横断)。,対象外 (適格請求書のみ)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Primary source citations,99%+ に source_url + fetched_at。,出典は国税庁 (一次)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Terms of use,ToS 同意で開始。NTA 由来データは PDL v1.0 で再配布可。,<strong>PDL v1.0</strong> (Public Domain License、出典明記で再配布 OK)。,この自由度の高い再配布規約のおかげで当社の bulk 取込が成立。
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Free tier,匿名 50 req/月/IP。,完全無料 (登録番号 1 件ずつの Web 検索は無料、bulk DL も無料)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Sample contract length,なし — 利用規約のみ。,なし (公的サービス)。,
nta-invoice,国税庁 適格請求書発行事業者公表サイト,NTA Invoice Issuer Public Site,https://www.invoice-kohyo.nta.go.jp/,Support model,Self-service + メール。,公的サービス窓口 (国税庁)。,
diy-scraping,自前スクレイピング,DIY scraping,,API access,<strong>REST + MCP を統一インターフェースで提供</strong>。OpenAPI 3.1。,自分で Web スクレイピング + 正規化 + 重複排除 + 失効監視を実装。,
diy-scraping,自前スクレイピング,DIY scraping,,MCP support,89 tools。,自分で実装する場合は MCP サーバーも自作。,
diy-scraping,自前スクレイピング,DIY scraping,,Pricing model,¥3/req 完全従量 (税込 ¥3.30)。,Cloud + 開発工数 (人件費が支配的)。,
diy-scraping,自前スクレイピング,DIY scraping,,JP corporate count,"166,969 件 (gBizINFO + 適格請求書 delta 取込済)。",自分で gBizINFO API + 国税庁 bulk を結合。出典・license 管理を自前で行う必要あり。,
diy-scraping,自前スクレイピング,DIY scraping,,Subsidy / 制度 DB,"10,790 件 (47 都道府県 + 省庁 + 自治体 1,500+ ソース)。","1,500+ ソースを個別 crawl + 失効監視。集約サイト (noukaweb 等) は当社で禁止 — 誤情報リスク。","自前で 1,500+ ソース管理は実務上極めて重い。"
diy-scraping,自前スクレイピング,DIY scraping,,Tax ruleset DB,35 件 (e-Gov + 国税庁通達 + 措置法)。,e-Gov + 国税庁通達 + 国会会議録 を結合。,
diy-scraping,自前スクレイピング,DIY scraping,,Court decisions / 判例,"2,065 件 (裁判所公式 + 判例集)。",裁判所サイト + 法律雑誌の判例索引を結合。OCR が必要な判決も多い。,
diy-scraping,自前スクレイピング,DIY scraping,,Invoice registrants / 適格請求書,"13,801 件 delta + 月次フル取込予定 (PDL v1.0)。",国税庁 bulk 月次 DL を自前で取込 — PDL v1.0 で再配布も OK。,
diy-scraping,自前スクレイピング,DIY scraping,,Primary source citations,99%+ に source_url + fetched_at (社内規約)。,自前で出典管理ポリシーを設計・運用。,
diy-scraping,自前スクレイピング,DIY scraping,,Liveness monitoring / 失効監視,<strong>毎晩 tier S/A 全件 + 段階的に B/C も巡回</strong>。404 即 公開保留 (二次レビュー待ち)。,自前で URL 死活監視 + cron + alert + DB 巡回。サイト改修ごとに parser 修正。,
diy-scraping,自前スクレイピング,DIY scraping,,Deduplication,重複除去 (公募回 / 都道府県差し替え 等のパターン規則化)。,自前で名寄せルール設計。,
diy-scraping,自前スクレイピング,DIY scraping,,Terms of use,ToS 同意で開始。,各サイトの ToS を個別確認 (集約サイト除外 等のポリシー判断が必要)。,
diy-scraping,自前スクレイピング,DIY scraping,,Free tier,匿名 50 req/月/IP。,自分の Cloud 費 (実質的な「無料枠」はない)。,
diy-scraping,自前スクレイピング,DIY scraping,,Time to first useful response,5 分 (匿名でいきなり叩ける)。,"数週間〜数ヶ月 (1,500+ ソースの crawler を書ききるまで)。",
